Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Calories
vegan,Itty Bitty Herbed Garlic Pumpkin Knots With Vegan Parmesan Cheese,american,23.25,124.6,45.81,1003.69
vegan,Vegan Slow-Cooker Sweet Potato Chili,american,65.82,224.74,32.78,1457.26
vegan,Vegan Spinach and Artichoke Dip Recipe,mediterranean,66.61,157.17,89.84,1703.6799999999998
vegan,Vegan Black Bean and Squash Chili Recipe,american,97.48,229.27,101.69,2222.21
vegan,Vegan katsu curry,american,79.46,265.89,116.58,2430.62
vegan,Vegan Egg Salad Sandwich recipes,american,74.95,102.31,85.59,1479.35
vegan,Smoky Tomato & Garlic Spelt Risotto with Crumbled Vegan Feta,mediterranean,66.35,290.35,116.51,2475.3900000000003
vegan,Wholegrain Pitta with Tomatoes and Pesto,italian,6.98,31.38,12.07,262.07
vegan,Lime Cheesecake,american,56.74,279.19,145.24,2650.88
vegan,Crowd-Pleasing Vegan Caesar Salad recipes,american,87.84,199.83,121.3,2242.38
vegan,Crowd-Pleasing Vegan Caesar Salad recipes,american,88.56,202.18,124.26,2281.3
vegan,Beluga Lentil Caviar on Blini,eastern europe,49.59,180.15,91.1,1738.8600000000001
vegan,Chocolate-Covered Matzo Bark,french,30.6,270.36,103.89,2138.8500000000004
vegan,Carrot & caraway crackers,american,19.35,185.39,46.89,1240.9699999999998
vegan,Vegan Queso,american,43.24,61.71,62.75,984.55
vegan,Vegan Root Beer Coconut Ice Cream,american,12.15,177.57,91.47,1582.1100000000001
vegan,Vegan Meringues,american,29.98,240.24,11.78,1186.9
vegan,Vegan Pesto,american,15.28,24.1,75.12,833.6
vegan,Vegan fajitas,american,42.5,182.74,52.72,1375.44
vegan,Vegan nuggets,american,91.67,262.84,45.06,1823.58
vegan,Vegan meatballs,american,55.2,233.31,79.82,1872.4199999999998
vegan,Vegan Dumplings,american,8.71,102.45,18.76,613.48
vegan,Vegan Queso,american,54.39,74.21,73.09,1172.21
vegan,Vegan Lasagna,american,101.15,272.84,66.63,2095.63
vegan,Vegan Sushi,japanese,31.81,295.6,11.96,1417.2800000000002
vegan,Vegan Meatballs,american,55.47,198.88,69.92,1646.6799999999998
vegan,Fancy Green Beans,american,9.51,33.92,11.36,275.96
vegan,Vegan Gravy,american,16.42,50.17,27.99,518.27
vegan,Hummus Tartine with Sprouts recipes,mediterranean,8.37,34.76,18.01,334.61
vegan,Vegan Mayonnaise,american,22.97,25.13,106.85,1154.05
vegan,Vegan Eggnog,american,28.72,151.67,136.98,1954.3799999999999
vegan,Vegan Vichysoisse,american,34.11,254.47,41.28,1525.84
vegan,Heirloom Tomato BLT,american,67.86,133.37,114.89,1838.93
vegan,Vegan Gravy,american,15.33,88.78,63.28,985.96
vegan,Vegan Chili,american,77.37,290.62,53.2,1950.76
vegan,Vegan Chili,american,83.07,289.12,24.89,1712.77
vegan,Cherry Tomato Zucchini Noodles,asian,11.46,39.76,14.13,332.05
vegan,Red lentil & sweet potato pâté,french,37.67,118.32,15.72,765.44
vegan,Vegan cashew Parmesan,american,59.46,65.69,67.7,1109.9
vegan,Rustic Garlic and Asparagus Tofu Quiche Is a Slice of Sunshine,french,16.32,119.85,87.04,1328.04
vegan,Vegan Corn Soup,american,29.92,164.72,38.37,1123.8899999999999
vegan,Vegan Cauliflower Soup,american,26.33,36.65,29.47,517.15
vegan,Vegan Yorkshire puddings,british,28.33,194.44,41.45,1264.1299999999999
vegan,"Vegan ""Ice Cream""",american,3.15,28.35,4.84,169.56
vegan,Grilled Avocado Sandwich,american,7.0,31.62,8.68,232.60000000000002
vegan,Vegan Asparagus Risotto,american,30.84,247.0,16.36,1258.6
vegan,Vegan Mushroom Gravy,american,10.93,37.1,41.71,567.51
vegan,Easy vegan pho,american,18.65,106.31,15.27,637.27
vegan,Vegan Chocolate Sorbet,american,7.27,173.78,51.9,1191.3
vegan,Vegan Sourdough Stuffing,american,64.61,290.67,54.0,1907.1200000000001
vegan,Vegan Chickpea Curry,american,71.67,244.33,64.8,1847.1999999999998
vegan,Vegan Mapo Tofu,american,52.07,60.56,56.37,957.8499999999999
vegan,Vegan Chili Mac,american,74.67,242.04,66.9,1868.94
vegan,Vegan Scalloped Potatoes,american,37.1,298.65,73.61,2005.49
vegan,Vegan Spring Risotto,italian,25.13,212.46,16.39,1097.87
vegan,Vegan Eggplant Lasagna,italian,130.69,183.5,96.88,2128.68
vegan,Vegan Mayonnaise recipes,american,2.4,16.16,82.56,817.28
vegan,Vegan Miso Pesto,american,10.76,16.9,79.51,826.23
vegan,Roasted Veggie Mason Jar Salad,asian,30.27,24.73,22.72,424.48
vegan,Vegan Chocolate Mousse,american,41.81,212.07,100.09,1916.33
vegan,Vegan Mashed Potatoes,american,11.66,96.4,54.73,924.81
vegan,Low-key Iridofu Or Scrambled Tofu With Vegetables recipes,asian,74.74,32.31,40.2,790.0
vegan,Vegan Sesame Grill,american,12.67,77.56,12.17,470.45000000000005
vegan,Tofu Salad,asian,18.76,32.32,17.91,365.51
vegan,Vegan Potato Soup,american,79.69,262.1,130.71,2543.55
vegan,Vegan Caesar Dressing,american,22.05,31.41,44.91,618.03
vegan,Vegan Summer Succotash,american,28.19,112.52,25.87,795.6700000000001
vegan,Vegan Chocolate Milkshake,american,21.17,120.27,41.1,935.6600000000001
vegan,Vegan Basil Pesto,american,20.29,25.97,96.69,1055.25
vegan,Massaged Kale Salad recipes,mediterranean,37.56,101.22,88.18,1348.7400000000002
vegan,Vegan Basil “Chicken”,american,70.45,43.51,63.81,1030.13
vegan,Vegan Lentil Soup,american,62.9,181.19,31.82,1262.74
vegan,Vegan Pear Tart,american,28.5,296.05,112.24,2308.36
vegan,Vegan Scalloped Potatoes,american,61.88,199.46,65.27,1632.79
vegan,Beet Jerky recipes,american,15.59,69.3,0.97,348.29
vegan,Vegan Buddha Bowl,american,57.85,227.15,105.16,2086.44
vegan,Vegan Portobello Muffuletta,american,47.7,190.91,70.41,1588.13
vegan,"Dark Chocolate, Chia, and Cherry Pecan Bar",american,10.48,94.15,67.01,1021.6100000000001
vegan,Vegan Pumpkin Chili,american,61.67,276.87,37.83,1694.63
vegan,Vegan Chocolate Dipped Strawberries,american,8.66,83.05,46.09,781.6500000000001
vegan,Vegan Pad Thai,south east asian,123.43,287.59,133.03,2841.35
vegan,Couscous with Pine Nuts and Currants,american,18.2,105.12,32.85,788.9300000000001
vegan,Baby Bok Choy Salad with Mama O's Kimchi Paste,chinese,6.02,21.02,0.95,116.71
vegan,Vegan cashew cream cheese,american,62.25,90.89,110.77,1609.4899999999998
vegan,Vegan Chocolate & Pumpkin Pudding,british,4.65,77.96,4.75,373.19
vegan,Easiest ever vegan gravy,american,3.12,9.71,5.39,99.83000000000001
vegan,Massaged Kale Salad Recipe,american,37.56,101.22,80.74,1281.78
vegan,Vegan French-Fried Onions,american,7.01,45.29,7.68,278.32
vegan,Vegan Mocha Mousse Recipe,american,75.54,201.64,83.46,1859.8600000000001
vegan,Vegan Palak Paneer,indian,69.07,87.68,64.8,1210.1999999999998
vegan,Vegan kale pesto pasta,american,85.33,299.08,87.91,2328.83
vegan,Vegan Bistro Lunch Box,american,8.25,28.23,8.52,222.60000000000002
vegan,Vegan Avocado Ice Cream,american,14.45,190.05,130.85,1995.6499999999999
vegan,Vegan Asparagus Avocado Soup,american,40.99,112.72,125.04,1740.2000000000003
vegan,Kale Slaw recipes,american,12.4,57.01,20.99,466.54999999999995
vegan,Inclusive Vegan Sour Cream,american,8.61,15.68,36.19,422.87
vegan,Easy Vegan Bacon Bits,american,59.11,49.68,0.38,438.58
vegan,Healthy Vegan Snacking recipes,american,6.02,127.9,1.98,553.5000000000001
vegan,Vegan BBQ teriyaki tofu,asian,71.0,62.88,53.38,1015.94
vegan,Vegan Basil Cashew Pesto,american,28.42,30.95,99.52,1133.1599999999999
vegan,Vegan Grape Jelly recipes,american,1.09,99.98,0.24,406.44000000000005
vegan,Vegan Chickpea Coconut Curry,american,19.93,100.18,134.96,1695.0800000000002
vegan,Chargrilled Artichokes Hummus [vegan],mediterranean,35.61,115.73,43.49,996.77
vegan,Easy Brown Rice & Veggie Wrap,chinese,11.03,52.26,19.43,428.03
vegan,Vegan Kaju Matar Masala | Vegan Cashew and Green Peas Curry,indian,39.11,104.85,97.12,1449.92
vegan,Asparagus Garlic Scape Pesto Spaghetti recipes,italian,16.02,42.41,54.27,722.15
vegan,The best vegan tacos,american,73.62,221.55,34.38,1490.1000000000001
vegan,Vegan Superfood Buddha Bowls,american,74.84,234.13,70.8,1873.08
vegan,Whole Spelt Vegan Pasta,american,17.2,98.28,15.52,601.6
vegan,Vegan Vanilla Ice Cream,american,25.52,107.14,61.4,1083.24
vegan,Root Vegetables Jazzed Up!,american,8.66,99.05,14.91,565.03
vegan,Vegan Cashew Caesar Salad,american,38.86,89.46,101.6,1427.6799999999998
vegan,Raw Vegan Coconut Macaroons,american,31.57,95.83,112.34,1520.66
vegan,Vegan Strawberry Ice Cream,american,5.79,222.43,5.76,964.72
vegan,Simplest Chocolate Mousse,british,46.49,138.98,128.96,1902.52
vegan,Vegan Peach Ice Scream,american,13.42,177.68,9.47,849.63
vegan,Roasted Veggie Brown Rice Buddha Bowl,asian,29.38,45.68,19.5,475.74
vegan,Simple Vegan Pesto Zoodles,american,29.84,63.91,92.41,1206.69
vegan,Vegan Mango Lassi recipes,world,5.81,155.67,10.77,742.8499999999999
vegan,Vegan Nectarine Ice Cream,american,12.36,151.54,97.35,1531.75
vegan,Grilled Corn with Sriracha Mayo,mediterranean,21.18,84.51,72.18,1072.38
vegan,Recent stonesoup vegan recipes,american,7.62,17.64,9.59,187.35000000000002
vegan,Vegan Butternut Squash Soup,american,17.34,91.39,115.59,1475.23
vegan,Vegan Lemon Asparagus Risotto,american,54.8,225.11,31.22,1400.6200000000001
vegan,Satoimo (taro Root) Cooked In Miso With Tofu recipes,asian,41.19,114.26,19.73,799.3699999999999
vegan,Cold Avocado Soup With Sweet Corn And Bacon,south american,28.33,85.11,94.31,1302.55
vegan,Vegan Caprese Salad recipes,american,61.81,46.18,75.54,1111.8200000000002
vegan,Vegan Raw Plantain Salad,american,8.8,139.47,2.19,612.7900000000001
vegan,Vegan Fresh Pasta Dough.,american,35.58,262.82,7.89,1264.61
vegan,Hearts of Baltimore Crab Cakes,mediterranean,30.74,84.99,104.24,1401.08
vegan,Garlicky Baked Butternut Squash recipes,american,32.14,190.38,39.93,1249.4499999999998
vegan,Green Tea Ice Cream,american,11.9,143.33,92.97,1457.65
vegan,Asparagus recipes,chinese,11.74,10.23,32.11,376.87
vegan,Ultimate Vegan Thanksgiving Gravy,american,27.2,102.17,42.17,897.01
vegan,Perfect Vegan Pie Crust,american,29.06,223.51,111.76,2016.12
vegan,Thyme roasted vegetables,american,8.56,146.03,42.54,1001.22
vegan,Vegan Banana Cashew Yogurt,american,29.25,102.35,62.48,1088.7199999999998
vegan,Homemade Vegan Kimchi Recipe,american,33.83,108.25,14.19,696.03
vegan,Tomato Tart,french,17.48,100.57,44.06,868.74
vegan,Vegan Chocolate Orange Muffins,american,34.66,266.45,64.99,1789.35
vegan,Vegan Seafood Spelt Pasta,american,54.91,264.71,49.65,1725.33
vegan,Raw vegan spag bol,american,78.97,245.02,44.98,1700.78
vegan,Vegan Vanilla Cashew Cream,american,18.23,31.25,43.86,592.6600000000001
vegan,Vegan Mediterranean Pita Pockets,american,120.28,197.28,115.53,2310.01
vegan,Vegan Green-Goddess Dip,american,3.6,13.98,71.09,710.1300000000001
vegan,Vegan Caprese Salad recipes,american,57.58,46.33,29.68,682.76
vegan,Easy Green Chile Quesadilla Recipe With Sprouted Corn Tortillas,mexican,34.34,48.42,50.87,788.87
vegan,"Beetroot, hummus & crispy chickpea sub sandwich",mediterranean,59.07,262.48,42.64,1669.96
vegan,Vegan Mushroom Gravy recipes,american,17.32,106.32,57.73,1014.1299999999999
vegan,Vegan Banana Ice Cream,american,11.88,169.1,97.21,1598.81
vegan,Vegan Spiced Cashew Rice,american,45.72,211.44,86.92,1810.9199999999998
vegan,Vegan Carrot Jalapeño Soup,american,20.77,90.18,59.76,981.6400000000001
vegan,Vegan Sweet Squash Soup,american,6.77,102.28,23.03,643.47
vegan,Vegan Avocado Ceviche recipes,american,9.15,39.7,43.86,590.14
vegan,5-Minute Vegan Breakfast Burritos,american,76.01,132.07,50.95,1290.87
vegan,Veggie Veggie Vegan Soup,american,20.35,123.04,29.02,834.74
vegan,Best-Ever Vegan Meatballs,american,35.95,114.25,28.96,861.4399999999999
vegan,Vegan Lemon Fettuccine Alfredo,american,85.42,292.08,91.47,2333.23
vegan,No-Oil Balsamic Dressing,american,33.28,101.9,2.99,567.63
vegan,Vegan bean chilli fries,american,50.83,249.54,90.69,2017.69
vegan,All the 'melon Ceviche (vegan),american,14.32,122.56,31.66,832.46
vegan,Vegan Cream Of Broccoli Soup,american,41.97,142.86,18.91,909.51
vegan,Vegan Caesar Salad recipes,american,55.62,193.4,143.75,2289.83
vegan,Vegan and Gluten-Free Gravy,american,29.69,49.33,16.42,463.86
vegan,Miso-Agave Mayonnaise (Vegan) Recipe,japanese,18.36,51.95,84.05,1037.69
vegan,Vegan Sweet Potato Chili,american,44.2,231.63,39.97,1463.05
vegan,Vegan Kale Caesar Salad,american,44.65,114.84,53.56,1120.0
vegan,Vegan “Cheese” Spread recipes,american,70.39,99.61,130.81,1857.29
vegan,Raw Vegan Zoodles with Romesco,american,52.57,234.71,59.35,1683.27
vegan,15 Minute Cauliflower Fried Rice recipes,chinese,40.74,57.84,43.11,782.3100000000001
vegan,Spicy Vegan Sloppy Joes,american,52.1,233.65,50.05,1593.45
vegan,Vegan Thai Cucumber Salad,south east asian,16.75,48.12,47.06,683.02
vegan,Eggless Molten Lava Cake (In the Microwave),american,4.73,38.99,18.82,344.26
vegan,Vegan Cauliflower Fried Rice,chinese,42.07,84.73,76.58,1196.42
vegan,Vegetable Stock From 'Afro-Vegan',american,0.56,3.29,0.06,15.940000000000001
vegan,Pecan-stuffed dates,american,23.83,282.81,103.33,2156.5299999999997
vegan,Spicy Vegan Sloppy Joes,american,52.1,233.65,50.05,1593.45
vegan,Vegan Dal Makhni recipes,american,68.31,177.32,70.78,1619.54
vegan,Raw Walnut Brownies (vegan + gf),american,8.87,112.76,41.16,856.96
vegan,Vegan: Breakfast Garlic Toast Recipe,american,33.25,115.8,63.11,1164.19
vegan,Vegan Pad Thai with Tofu,asian,66.38,195.01,63.49,1616.9699999999998
vegan,Vegan Black Sesame Milkshakes,american,18.8,76.81,117.06,1435.98
vegan,Delicious Vegan Chili recipes,american,42.13,167.98,24.93,1064.81
vegan,Healthy Vegan Yoga Bowl,american,60.73,188.21,18.76,1164.6
vegan,Vegan Portobello Muffuletta recipes,american,47.45,189.36,70.33,1580.21
vegan,Vegan Crispy Roasted Cauliflower,american,33.34,42.56,46.01,717.69
vegan,Vegan Mixed Berry Panna Cotta,american,14.9,111.97,50.97,966.21
vegan,Vegan Butter Chicken recipes,american,52.94,121.02,76.27,1382.27
vegan,Hearty Vegetable Stock (Vegan) Recipe,american,0.46,2.66,0.12,13.56
vegan,Raspberry Lemon Cake,american,26.36,279.82,58.73,1753.29
vegan,Carnitas tenderloin tacos,mexican,71.06,54.84,66.08,1098.3200000000002
vegan,Canadian apple butter,american,2.49,135.45,25.78,783.78
vegan,"Pantry Bacon (vegan, gluten free)",american,0.92,79.66,27.61,570.81
vegan,Raw Vegan Coconut Almond Macaroons,american,36.09,114.15,126.25,1737.21
vegan,Burgers with Chunky Grilled Vegetables,american,52.87,100.71,28.39,869.8299999999999
vegan,Vegan Broccoli Cream Soup Recipe,american,23.5,92.68,28.95,725.27
vegan,Vegan chocolate banana ice cream,american,1.61,27.46,0.63,121.95
vegan,Patatas Bravas,mediterranean,25.85,207.13,64.9,1516.02
vegan,"Big Quesadillas with Refried Beans, Spinach, and Avocado",mexican,51.06,204.95,54.93,1518.4099999999999
vegan,"Charred cauliflower, lemon & caper orzo",italian,19.38,93.24,11.53,554.25
vegan,Mango-Raspberry Vegan Shake recipes,american,4.2,164.16,14.87,807.27
vegan,Healthy Vegan German Potato Salad,american,28.42,244.78,1.47,1106.03
vegan,Red cabbage with coriander seed,american,4.48,111.57,15.81,606.49
vegan,Chickpeas With Spring Greens (Vegan),american,39.1,139.69,22.25,915.41
vegan,Cheesy Vegan Brussels Sprout Chips,american,12.37,27.62,14.54,290.82
vegan,Vegan Whipped Coconut Sweet Potatoes,american,7.42,82.5,24.29,578.29
vegan,Olive-Artichoke Eggplant Rolls,mediterranean,21.24,79.57,92.14,1232.5
vegan,RAW VEGAN BLOODY MARY recipes,american,5.99,29.77,1.48,156.35999999999999
vegan,Zucchini Verde Vegan Enchiladas,american,91.98,243.48,112.79,2356.95
vegan,Asian-Style Lettuce Wraps,japanese,50.77,54.64,18.12,584.72
vegan,Vegan Thai Summer Squash Vichyssoise,south east asian,44.26,154.44,61.48,1348.12
vegan,Vegan Cream of Broccoli Soup,american,50.28,107.77,31.46,915.34
vegan,Vegan Vanilla Ice Cream recipes,american,25.52,107.14,61.4,1083.24
vegan,Raw Vegan Fig-Vanilla Jam,american,3.26,61.03,3.23,286.23
vegan,Banana Bread for One,american,2.58,40.25,14.28,299.84
vegan,Vegan Spinach and Artichoke Dip,american,51.29,101.78,127.63,1760.95
vegan,Vegan Stuffing with Mushrooms and Leeks,american,66.77,281.85,107.09,2358.29
vegan,Vegan Tofu and Spinach Scramble,american,70.95,39.43,62.98,1008.3399999999999
vegan,Spicy Cabbage Slaw (vegan) Recipe,american,5.78,84.31,0.89,368.37
vegan,Vegan Pumpkin Pie Ice Cream,american,16.63,173.09,43.5,1150.38
vegan,Vegan Mint Chip Ice Cream,american,39.05,157.15,134.2,1992.6
vegan,Grilled Portobello Mushroom Burgers,world,43.5,164.35,27.76,1081.24
vegan,Raspberry Mousse recipes,french,39.86,167.6,36.62,1159.4199999999998
vegan,Vegan Tofu Green Goddess Dressing,american,6.27,18.38,77.51,796.19
vegan,Vegan Sweet Potato Malai Kofta,american,36.9,128.0,128.65,1817.4500000000003
vegan,Gluten-Free Balsamic Zucchini Scones,american,20.83,236.24,117.68,2087.4
vegan,RAW VEGAN DONUT HOLES recipes,american,27.04,203.88,72.04,1572.04
vegan,Spring Has Sprung Salad recipes,american,17.79,61.94,14.16,446.35999999999996
vegan,Chilled Avocado Soup,american,11.34,45.35,81.6,961.16
vegan,Creamy Vegan Herb Salad Dressing,american,14.5,6.77,34.26,393.41999999999996
vegan,Super Healthy Vegan Hummus Wrap,american,22.54,64.48,36.5,676.58
vegan,Creamy Vegan Avocado Potato Salad,american,26.81,185.65,60.99,1398.75
vegan,Vegan Pumpkin Pie Ice Cream,american,16.63,173.09,43.5,1150.38
vegan,Vegan Cauliflower Steaks with Mushroom Gravy,american,37.21,111.41,69.17,1217.01
vegan,Vegan Cauliflower Fettuccine Alfredo with Kale,american,75.91,290.12,71.3,2105.8199999999997
vegan,Smokin' Hot Vegan Vaquero Chili,american,57.35,191.42,17.06,1148.62
vegan,Spinach & Dill Pasta Salad,american,17.4,70.76,24.13,569.81
vegan,Vegan Cream of Broccoli Soup recipes,american,41.97,142.86,18.91,909.51
vegan,Indian Cauliflower with Black Mustard Seeds,mediterranean,14.68,48.25,45.34,659.7800000000001
vegan,5 Minute Vegan Kale Pesto recipes,american,13.62,20.92,135.28,1355.68
vegan,Raw Mini Key Lime Pies,american,8.55,164.25,92.62,1524.7800000000002
vegan,Vegan Italian Garbanzo Bean Soup,american,29.6,113.87,21.94,771.34
vegan,Recipe: Vegan Sweet Potato Chowder,american,17.31,201.34,28.75,1133.35
vegan,Italian Wedding Soup,italian,125.25,163.89,50.35,1609.71
vegan,Vegan Carrot Ginger Coconut Soup,american,29.08,129.28,68.93,1253.8100000000002
vegan,Vegan Dark Chocolate Coconut Tart,american,32.24,221.1,103.54,1945.22
vegan,Vegan Burrito Bowls with Cauliflower Rice,mexican,25.61,50.07,58.11,825.71
vegan,Soy-Free Vegan Mac and Cheese,american,74.62,161.63,11.77,1050.93
vegan,Paleo and Vegan Pesto stuffed mushrooms,american,10.73,15.5,49.29,548.53
vegan,Vegan Dan Dan Noodles Recipe,asian,45.41,189.76,105.4,1889.28
vegan,Eggless Tofu Salad,asian,54.39,29.82,38.61,684.33
vegan,Green Goddess Dressing (Vegan) recipes,american,6.86,26.61,84.01,889.97
vegan,Carrot Mustard Soup,american,69.1,147.26,30.53,1140.21
vegan,Crabless Cakes with Hearts of Palm and Corn,mediterranean,30.54,144.93,42.23,1081.95
vegan,"Chana Saag (vegan, gluten free)",american,60.24,155.38,44.87,1266.31
vegan,Mushroom Sun Burger,american,45.55,85.84,81.32,1257.4399999999998
vegan,Spicy Pumpkin Soup,british,23.85,148.88,17.78,850.9399999999999
vegan,Creamy Vegan Fingerling Potato Salad Recipe,american,20.82,185.35,55.76,1326.52
vegan,"Vegan ""Pancit Bihon"" with Spaghetti Squash",american,14.17,90.83,32.26,710.3399999999999
vegan,Vegan Garlic Scrape and Mushroom Rice,american,29.91,145.23,15.92,843.8399999999999
vegan,Baked Eggplant Fries Recipe,french,61.99,238.33,30.15,1472.6299999999999
vegan,Vegan Harvest Vegetable Tart recipes,american,92.46,214.57,116.61,2277.6099999999997
vegan,Peanut-Tamarind Dipping Sauce for Spring Rolls or Satay Recipe,south east asian,24.35,36.34,66.36,840.0
vegan,Miso-Marinated Portobello Carpaccio (Vegan) Recipe,japanese,11.93,38.64,69.78,830.3
vegan,Vegan Avocado Lime Ice Cream Recipe,american,12.58,259.48,88.12,1881.3200000000002
vegan,Recipe: 6-Ingredient Vegan Enchilada Casserole,american,51.99,239.48,95.83,2028.35
vegan,"Tofu ""Egg"" Salad",asian,68.9,30.83,70.95,1037.47
vegan,Loaded Organic Baked Potato with Broccoli and Cheese,italian,59.69,179.9,109.31,1942.15
vegan,Vegan Soft Serve Ice Cream recipes,american,7.04,90.76,3.39,421.71000000000004
vegan,Zucchini Za’atar Vegan Scones recipes,american,37.77,213.68,129.79,2173.91
vegan,VIETNAMESE RICE NOODLE SOUP (VEGAN PHO),south east asian,31.1,207.84,18.92,1126.04
vegan,Japanese Pancakes (Okonomiyaki) recipes,american,27.62,110.94,35.07,869.87
vegan,Spiced Coconut Lentil Soup recipes,south american,56.77,157.3,68.75,1475.0300000000002
vegan,Instant-Pot Vegan Cauliflower Queso,american,27.68,59.25,18.02,509.90000000000003
vegan,5 Minute Vegan Pumpkin Soup recipes,american,30.87,168.45,44.04,1193.6399999999999
vegan,Vegan Coconut Banana Ice Cream recipes,american,12.71,127.44,84.77,1323.53
vegan,Grilled Broccoli and Bread Salad with Pickled Shallots,american,42.75,263.75,130.8,2403.2
vegan,"Celeriac, hazelnut & truffle soup",french,52.69,168.76,110.68,1881.92
vegan,Rice Spaghetti with Green Vegan Basil Pesto,american,19.28,141.13,67.74,1251.3
vegan,Easy Vegan Garlic Scape Pesto recipes,american,84.75,33.82,112.08,1483.0
vegan,The Best Vegan Mapo Tofu Recipe,asian,75.35,69.27,136.84,1810.04
vegan,15-Minute Creamy Tomato Soup (Vegan) Recipe,american,27.5,129.28,116.19,1672.83
vegan,Eggless Salad,french,42.76,30.02,25.53,520.89
vegan,"King Oyster Mushroom ""BLT"" with Basil Mayonnaise recipes",american,25.16,78.74,51.15,875.9499999999999
vegan,Callaloo - Trinidadian (Vegan) Cream of Spinach,american,23.33,58.48,125.79,1459.3500000000001
vegan,Roasted Cauliflower and Almond Risotto,italian,71.43,255.83,115.68,2350.16
vegan,Vegan Shiitake Miso Cleansing Soup recipes,american,39.68,202.63,9.48,1054.56
vegan,Salmon with Stone Fruit and Parmesan Salad,nordic,87.02,43.49,122.55,1624.99
vegan,Vegan Caesar Salad with Polenta Croutons,american,75.65,219.09,54.16,1666.4
vegan,Mango Rice with Mustard,indian,18.61,178.66,51.56,1253.12
vegan,Satay sweet potato curry,south east asian,30.05,156.04,107.5,1711.8600000000001
vegan,Bean & halloumi stew,french,54.94,133.87,72.08,1403.96
vegan,(Absolutely not a Falafel) Vegan Lentil Falafel,american,46.33,133.73,2.36,741.48
vegan,Spicy Vegan Dragon Noodle Salad Recipe,american,57.2,255.09,90.89,2067.17
vegan,Savory Vegan Chickpea Crêpes With Vegetable Ragout,american,47.23,162.33,31.12,1118.32
vegan,Papadums With Whipped Dal,indian,55.86,135.98,58.81,1296.6499999999999
vegan,Vegan Pasta Alfredo With Two Stroganoff Variations,american,70.53,254.29,34.09,1606.0900000000001
vegan,Repair and Recover Vegan Chia Pudding recipes,british,8.47,26.41,9.87,228.35000000000002
vegan,Kimchi Udon Noodle Soup,asian,55.59,161.65,24.36,1088.2
vegan,Shiny Happy Poppers,french,32.06,200.02,115.51,1967.9100000000003
vegan,Spinach Dip,american,30.78,43.04,132.01,1483.37
vegan,Vegan Sweet Potato and Pumpkin Pudding Cups,british,17.94,154.04,73.94,1353.38
vegan,Vegan Quinoa-Stuffed Grilled Zucchini recipes,american,36.15,107.22,72.8,1228.6799999999998
vegan,"Vegan, Gluten Free Butternut Squash Gratin",american,104.45,273.06,62.21,2069.93
vegan,Vegan Toasted Coconut And Pistachio Ice Cream,american,15.14,143.93,108.29,1610.8899999999999
vegan,Strawberries with Pomegranate Molasses and Vegan Whip Cream,american,16.29,206.68,134.38,2101.3
vegan,Vegan Seitan and Mushroom Ragù Bolognese Recipe,american,132.82,110.63,99.64,1870.56
vegan,Recipe: Vegan Creamy Curried Cauliflower Soup,american,32.73,97.53,95.5,1380.54
vegan,Creamy Vegan Saag Paneer (With Tofu) Recipe,asian,50.62,81.39,62.87,1093.87
vegan,Spiced Butternut Squash Lentil Soup (Vegan),american,64.65,236.09,33.82,1507.3400000000001
vegan,Flying Tofu Wedges,asian,56.97,25.88,37.72,670.88
vegan,"Vegan Quinoa, Broccoli, and Kale Curry Recipe",american,42.54,161.71,55.0,1312.0
vegan,Mak Kimchi,south east asian,16.34,36.04,1.92,226.79999999999998
vegan,Amaretto-spiked Chocolate Mousse recipes,italian,51.89,188.64,99.61,1858.61
vegan,"Easy Flaked Almond ""Tuna"" Salad recipes",american,36.59,50.97,86.5,1128.74
vegan,"Homemade Baileys Irish Cream, made vegan. recipes",world,8.86,93.2,117.82,1468.62
vegan,Barbecued Tofu Burger,asian,66.13,259.53,41.51,1676.2299999999998
vegan,Sweet Potato-Black Bean Burgers,american,78.61,299.8,66.66,2113.58
vegan,Gluten- and Dairy-Free Pie Crust,american,19.84,146.62,117.59,1724.15
vegan,Baked mini gluten free vegan vanilla donuts,american,6.74,206.28,51.41,1314.77
vegan,Appetizer Recipe: Miso Sweet Potato Bites,japanese,29.62,206.76,42.3,1326.22
vegan,Vegan Snack Recipe: Toast with Hummus & Veggies,american,8.85,33.92,4.8,214.28
vegan,Vegan dal | Hidden veg red lentil dal,american,80.1,235.31,7.74,1331.3
vegan,Red Lentil Soup with Lime,french,53.51,161.56,19.46,1035.42
vegan,Mexican Mushroom and Spinach Sandwich (Vegan Torta) Recipe,american,47.97,185.14,66.94,1534.9
vegan,"Vegan Mushroom ""Jerky"" (Slow-Roasted Mushroom Strips)",american,6.67,32.45,14.0,282.48
vegan,Vegan “Cream” Of Broccoli Soup With Leeks And Scallions,american,27.64,114.23,30.7,843.78
vegan,Spaghetti and Soyballs,italian,129.78,282.3,84.87,2412.15
vegan,Raw Chili recipes,american,70.26,284.92,93.63,2263.39
vegan,Blender Sweet Potato Pie,south american,20.34,253.96,98.65,1985.0500000000002
vegan,Vegan Hot and Sour Soup with Tofu recipes,american,81.76,53.77,82.74,1286.78
vegan,Jackfruit Sloppy Joes,american,24.71,272.95,26.66,1430.58
